Instance,Our_Vehicles,BKS_Vehicles,Vehicle_Gap(%),Our_Distance,BKS_Distance,Distance_Gap(%),Time(s)
LR2_4_2.sol,14,7.0,100.0,9369.82,9405.4,-0.3782933208582296,2795.45
LR2_4_3.sol,11,5.0,120.0,7246.38,10176.94,-28.796082122917102,2805.46
LR2_4_4.sol,9,4.0,125.0,7439.1,6201.84,19.949885840331262,2946.71
LR2_4_5.sol,12,6.0,100.0,9053.77,9894.46,-8.496572829644052,2781.79
LR2_4_6.sol,12,5.0,140.0,7854.64,8946.91,-12.208349027764887,2824.55
LR2_4_7.sol,10,4.0,150.0,7808.64,7993.16,-2.3084737450520136,2891.47
LR2_4_8.sol,10,4.0,150.0,6509.57,5260.42,23.746202774683383,3023.85
LR2_4_9.sol,13,6.0,116.66666666666669,8004.01,7926.07,0.9833372655048532,2804.68
LR2_6_1.sol,22,11.0,100.0,20278.85,21759.33,-6.803885965238833,2981.63
LR2_6_10.sol,16,7.0,128.57142857142858,19192.0,16390.64,17.09121791461469,3141.59
LR2_6_2.sol,19,9.0,111.11111111111111,18571.54,21289.7,-12.76748850383049,3103.23
LR2_6_3.sol,18,7.0,157.14285714285714,17615.02,17480.06,0.77207972970344,3178.96
LR2_6_4.sol,14,6.0,133.33333333333331,13902.29,10639.08,30.67191900051509,3598.26
LR2_6_5.sol,20,8.0,150.0,22281.41,22625.89,-1.522503645160476,3018.92
LR2_6_6.sol,17,7.0,142.85714285714286,17602.07,19099.49,-7.840104631066075,3201.76
LR2_6_7.sol,15,6.0,150.0,16593.05,14645.32,13.299333848628777,3266.92
LR2_6_8.sol,10,4.0,150.0,15131.88,12341.9,22.605757622408216,4028.57
LR2_6_9.sol,19,8.0,137.5,17847.45,18259.2,-2.255027602523659,3078.3
LR2_8_1.sol,29,14.0,107.14285714285714,38666.91,41873.12,-7.656964658950656,3290.73
LR2_8_10.sol,23,8.0,187.5,33211.26,30136.86,10.20146093521356,3570.02
LR2_8_2.sol,25,11.0,127.27272727272728,35651.85,36549.69,-2.4564914230462795,3469.23
LR2_8_3.sol,20,9.0,122.22222222222224,29957.66,26391.07,13.514381948136243,4016.31
LR2_8_4.sol,15,6.0,150.0,25317.7,20618.03,22.79398177226438,5345.92
LR2_8_5.sol,27,11.0,145.45454545454547,33735.41,34816.5,-3.105108210187688,3510.51
LR2_8_6.sol,22,9.0,144.44444444444443,32876.37,28814.65,14.09602407108884,3641.45
LR2_8_7.sol,18,7.0,157.14285714285714,28972.82,25502.39,13.608253971490516,4625.88
LR2_8_8.sol,16,5.0,220.00000000000003,23538.17,18327.23,28.43277462005987,6044.66
LR2_8_9.sol,26,10.0,160.0,33628.47,30515.5,10.201274762006198,3587.95
LRC1_10_1.sol,96,82.0,17.073170731707318,54150.06,49111.78,10.2588014525232,2966.94
LRC1_10_10.sol,66,47.0,40.42553191489361,42046.76,36539.03,15.073552855672425,3279.44
LRC1_10_2.sol,89,71.0,25.352112676056336,50672.72,45547.38,11.252765801238192,2996.94
LRC1_10_3.sol,73,53.0,37.735849056603776,42507.18,35616.85,19.345702946779408,3154.47
LRC1_10_4.sol,55,40.0,37.5,35920.05,27211.87,32.00140232920415,3749.97
LRC1_10_5.sol,91,72.0,26.38888888888889,56727.8,50323.04,12.72729151498002,3034.43
LRC1_10_6.sol,86,67.0,28.35820895522388,50465.16,45115.22,11.858392799591806,3071.19
LRC1_10_7.sol,81,60.0,35.0,48782.43,41560.52,17.376851877695476,3078.42
LRC1_10_8.sol,75,55.0,36.36363636363637,45847.12,40770.1,12.452802421382348,3101.18
