Instance,Variant,Our_Vehicles,BKS_Vehicles,Vehicle_Gap,Our_Distance,BKS_Distance,Distance_Gap,Time
LRC1_4_10.sol,PDPTW,29,23.0,26.08695652173913,7409.93,7064.36,4.891738246635232,2737.92
LRC1_4_2.sol,PDPTW,37,,,8219.21,,,2717.06
LRC1_4_3.sol,PDPTW,31,24.0,29.166666666666668,8003.79,7805.16,2.544854942115218,2724.52
LRC1_4_4.sol,PDPTW,22,19.0,15.789473684210526,6245.66,5803.31,7.6223741278683965,2754.1
LRC1_4_5.sol,PDPTW,37,32.0,15.625,8999.57,8847.4,1.7199403214503706,2716.48
LRC1_4_6.sol,PDPTW,36,30.0,20.0,8553.63,8394.47,1.896010111418587,2726.93
LRC1_4_7.sol,PDPTW,34,28.0,21.428571428571427,8608.22,8037.87,7.095785326212037,2725.52
LRC1_4_8.sol,PDPTW,32,26.0,23.07692307692308,8015.97,7930.15,1.0821989495785151,2728.52
LRC1_4_9.sol,PDPTW,31,25.0,24.0,8277.75,8004.24,3.4170639561032683,2729.87
LRC1_6_1.sol,PDPTW,60,52.0,15.384615384615383,19487.36,18288.9,6.552936480597515,2762.55
LRC1_6_10.sol,PDPTW,39,29.0,34.48275862068966,14905.25,13963.66,6.743146137903675,2834.09
LRC1_6_2.sol,PDPTW,52,43.0,20.930232558139537,16970.81,16515.41,2.7574247324165824,2753.24
LRC1_6_3.sol,PDPTW,45,36.0,25.0,16134.83,13975.98,15.4468595404401,2789.88
LRC1_6_4.sol,PDPTW,31,25.0,24.0,12673.92,10800.44,17.346330334690062,2919.49
LRC1_6_5.sol,PDPTW,56,45.0,24.444444444444443,18209.29,17463.94,4.26793724669234,2816.87
LRC1_6_6.sol,PDPTW,53,41.0,29.268292682926827,18456.22,19025.36,-2.9914808445148973,2770.22
LRC1_6_7.sol,PDPTW,49,37.0,32.432432432432435,16722.04,15914.85,5.071929675743099,2812.42
LRC1_6_8.sol,PDPTW,46,33.0,39.39393939393939,16710.5,15317.63,9.093247454077432,2811.19
LRC1_6_9.sol,PDPTW,43,33.0,30.303030303030305,16231.93,15344.64,5.782410014180853,2822.24
LRC1_8_1.sol,PDPTW,78,66.0,18.181818181818183,35230.75,32252.28,9.234913004599989,2835.03
LRC1_8_10.sol,PDPTW,56,39.0,43.58974358974359,27861.41,24622.59,13.153855869752125,3070.44
LRC1_8_2.sol,PDPTW,69,56.0,23.214285714285715,31654.21,27878.89,13.541859091233546,2869.96
LRC1_8_3.sol,PDPTW,60,48.0,25.0,27825.44,24371.95,14.169937161367876,2968.34
LRC1_8_4.sol,PDPTW,43,34.0,26.47058823529412,22002.19,18208.51,20.834653686655308,3366.71
LRC1_8_5.sol,PDPTW,76,58.0,31.03448275862069,35004.76,31169.16,12.305753507633836,2846.11
LRC1_8_6.sol,PDPTW,71,54.0,31.48148148148148,32754.82,28961.66,13.097177440795866,2896.04
LRC1_8_7.sol,PDPTW,64,50.0,28.000000000000004,30973.95,28768.4,7.6665716550103555,2894.14
LRC1_8_8.sol,PDPTW,60,44.0,36.36363636363637,30232.92,26902.93,12.377796767861335,2902.47
LRC1_8_9.sol,PDPTW,58,44.0,31.818181818181817,28261.44,24854.96,13.705433442660942,3028.98
lrc201.sol,PDPTW,5,4.0,25.0,1467.02,1406.94,4.270260281177586,2700.91
lrc202.sol,PDPTW,5,3.0,66.66666666666666,1419.47,1374.27,3.289018897305482,2701.12
lrc203.sol,PDPTW,4,3.0,33.33333333333333,1115.91,1089.07,2.4644880494366888,2701.24
lrc204.sol,PDPTW,3,3.0,0.0,818.66,818.66,0.0,2701.56
lrc205.sol,PDPTW,4,4.0,0.0,1303.57,1302.2,0.10520657349100682,2701.17
lrc206.sol,PDPTW,4,3.0,33.33333333333333,1290.1,1159.03,11.308594255541268,2700.91
lrc207.sol,PDPTW,3,3.0,0.0,1062.05,1062.05,0.0,2701.71
lrc208.sol,PDPTW,3,3.0,0.0,859.58,852.76,0.7997560861203681,2701.16
LRC2_10_1.sol,PDPTW,44,22.0,100.0,41187.31,34463.46,19.510084013619057,3645.4
LRC2_10_10.sol,PDPTW,32,11.0,190.9090909090909,33235.15,29085.28,14.267938971190937,4532.51
LRC2_10_2.sol,PDPTW,42,19.0,121.05263157894736,41186.7,38619.13,6.648440811587418,3553.28
LRC2_10_3.sol,PDPTW,33,16.0,106.25,32985.52,27218.08,21.189738585528424,4866.11
LRC2_10_4.sol,PDPTW,23,11.0,109.09090909090908,34291.17,23212.46,47.72742742475377,8267.96
LRC2_10_5.sol,PDPTW,40,16.0,150.0,39854.99,40638.13,-1.9271063899839864,3766.35
LRC2_10_6.sol,PDPTW,37,17.0,117.64705882352942,37746.62,30910.65,22.115258009779804,3688.52
LRC2_10_7.sol,PDPTW,37,15.0,146.66666666666666,37252.64,33275.24,11.953031743722963,3947.23
LRC2_2_1.sol,PDPTW,10,6.0,66.66666666666666,3128.92,3595.18,-12.969030757848,2705.65
LRC2_2_10.sol,PDPTW,6,3.0,100.0,2300.14,2437.88,-5.649990975765839,2712.04
LRC2_2_2.sol,PDPTW,7,5.0,40.0,2811.85,3158.25,-10.968099422148343,2707.52
LRC2_2_3.sol,PDPTW,7,4.0,75.0,2748.12,2881.99,-4.645054285406955,2712.85
LRC2_2_4.sol,PDPTW,5,3.0,66.66666666666666,2814.9,2835.4,-0.7230020455667631,2731.6
LRC2_2_5.sol,PDPTW,7,5.0,40.0,3171.66,2776.93,14.214618301505622,2708.38
LRC2_2_6.sol,PDPTW,7,5.0,40.0,2897.94,2707.96,7.015613229146664,2708.96
LRC2_2_7.sol,PDPTW,7,4.0,75.0,2670.11,3010.68,-11.31206239122058,2711.39
LRC2_2_8.sol,PDPTW,6,4.0,50.0,2532.22,2399.89,5.514002725124898,2714.08
LRC2_2_9.sol,PDPTW,6,4.0,50.0,2435.21,2208.49,10.26583774434117,2712.24
LRC2_4_1.sol,PDPTW,19,11.0,72.72727272727273,7691.56,9738.95,-21.022697518726357,2754.73
LRC2_4_10.sol,PDPTW,12,6.0,100.0,6178.22,5395.71,14.502447314625885,2840.68
LRC2_4_2.sol,PDPTW,18,10.0,80.0,7395.39,7159.95,3.288291119351399,2769.38
LRC2_4_3.sol,PDPTW,15,8.0,87.5,6579.92,6426.47,2.3877805389272777,2800.01
LRC2_4_4.sol,PDPTW,10,5.0,100.0,5549.01,5238.77,5.922000774991072,2999.69
LRC2_4_5.sol,PDPTW,14,10.0,40.0,6746.3,7309.54,-7.705546450255417,2770.36
LRC2_4_6.sol,PDPTW,16,9.0,77.77777777777779,7235.07,6337.08,14.170406559487963,2782.87
LRC2_4_7.sol,PDPTW,13,8.0,62.5,6817.63,6292.23,8.349980849396806,2783.92
LRC2_4_8.sol,PDPTW,14,7.0,100.0,6360.76,5767.72,10.282052526821689,2789.74
LRC2_4_9.sol,PDPTW,10,6.0,66.66666666666666,5296.55,6272.92,-15.5648406164912,2822.01
LRC2_6_1.sol,PDPTW,26,16.0,62.5,15164.13,14578.92,4.014083347737687,2833.1
LRC2_6_10.sol,PDPTW,20,7.0,185.7142857142857,13746.92,13054.5,5.304071393006243,3108.02
LRC2_6_2.sol,PDPTW,22,13.0,69.23076923076923,13950.39,13850.22,0.7232376092220923,2962.04
LRC2_6_3.sol,PDPTW,20,10.0,100.0,14826.23,12432.91,19.249877944905897,3085.84
LRC2_6_4.sol,PDPTW,13,7.0,85.71428571428571,12963.68,9833.92,31.826169015001145,3894.05
LRC2_6_5.sol,PDPTW,25,13.0,92.3076923076923,14738.78,14380.37,2.4923558990484938,2912.09
LRC2_6_6.sol,PDPTW,23,12.0,91.66666666666666,15267.71,14962.08,2.0426972720370378,2931.98
LRC2_6_7.sol,PDPTW,23,10.0,130.0,14483.36,14094.26,2.760698326836601,3008.2
